date;time;tempmeas;refcool;refheat;ctrlenabled;forcefan;
26/08/2013;06:45:03;75,4;75,4;63,0;2;0;
26/08/2013;06:46:03;75,4;75,4;63,0;2;0;
26/08/2013;06:47:03;75,4;75,4;63,0;2;0;
26/08/2013;06:48:06;75,4;75,4;63,0;2;0;
26/08/2013;06:49:03;75,4;75,4;63,0;2;0;
26/08/2013;06:50:03;75,4;75,4;63,0;2;0;
26/08/2013;06:51:03;75,4;75,4;63,0;2;0;
26/08/2013;06:52:03;75,4;75,4;63,0;2;0;
26/08/2013;06:53:03;75,4;75,4;63,0;2;0;
26/08/2013;06:54:03;75,4;75,4;63,0;2;0;
26/08/2013;06:55:03;75,4;75,4;63,0;2;0;
26/08/2013;06:56:03;75,4;75,4;63,0;2;0;
26/08/2013;06:57:06;75,4;75,4;63,0;2;0;
26/08/2013;06:58:03;75,4;75,4;63,0;2;0;
26/08/2013;06:59:03;75,4;75,4;63,0;2;0;
26/08/2013;07:00:03;75,4;75,4;63,0;2;0;
26/08/2013;07:01:03;75,5;75,4;63,0;2;0;
26/08/2013;07:02:03;75,4;75,4;63,0;2;0;
26/08/2013;07:03:03;75,4;75,4;63,0;2;0;
26/08/2013;07:04:03;75,4;75,4;63,0;2;0;
26/08/2013;07:05:03;75,4;75,4;63,0;2;0;
26/08/2013;07:06:04;75,4;75,4;63,0;2;0;
26/08/2013;07:07:03;75,4;75,4;63,0;2;0;
26/08/2013;07:08:03;75,4;75,4;63,0;2;0;
26/08/2013;07:09:03;75,4;75,4;63,0;2;0;
26/08/2013;07:10:03;75,4;75,4;63,0;2;0;
26/08/2013;07:11:03;75,4;75,4;63,0;2;0;
26/08/2013;07:12:03;75,4;75,4;63,0;2;0;
26/08/2013;07:13:04;75,4;75,4;63,0;2;0;
26/08/2013;07:14:04;75,4;75,4;63,0;2;0;
26/08/2013;07:15:03;75,4;75,4;63,0;2;0;
26/08/2013;07:16:03;75,4;75,4;63,0;2;0;
26/08/2013;07:17:03;75,4;75,4;63,0;2;0;
26/08/2013;07:18:03;75,4;75,4;63,0;2;0;
26/08/2013;07:19:04;75,4;75,4;63,0;2;0;
27/08/2013;06:21:43;74,1;73,9;63,0;2;0;
27/08/2013;06:21:48;74,2;73,9;63,0;2;0;
27/08/2013;06:22:45;74,2;73,9;63,0;2;0;
27/08/2013;06:23:45;74,2;73,9;63,0;2;0;
27/08/2013;06:24:45;74,2;73,9;63,0;2;0;
27/08/2013;06:25:45;74,2;73,9;63,0;2;0;
27/08/2013;06:26:45;74,2;73,9;63,0;2;0;
27/08/2013;06:27:45;74,2;73,9;63,0;2;0;
27/08/2013;06:28:45;74,2;73,9;63,0;2;0;
27/08/2013;06:29:45;74,3;73,9;63,0;2;0;
27/08/2013;06:30:45;74,3;73,9;63,0;2;0;
27/08/2013;06:31:45;74,3;73,9;63,0;2;0;
27/08/2013;06:32:45;74,3;73,9;63,0;2;0;
27/08/2013;06:33:45;74,3;73,9;63,0;3;0;
27/08/2013;06:34:45;74,3;73,9;63,0;3;0;
27/08/2013;06:35:45;74,3;73,9;63,0;3;0;
27/08/2013;06:36:45;74,2;73,9;63,0;3;0;
27/08/2013;06:37:45;74,1;73,9;63,0;3;0;
27/08/2013;06:38:45;74,0;73,9;63,0;3;0;
27/08/2013;06:39:45;74,0;73,9;63,0;3;0;
27/08/2013;06:40:45;73,9;73,9;63,0;3;0;
27/08/2013;06:41:45;73,8;73,9;63,0;3;0;
27/08/2013;06:42:45;73,7;73,9;63,0;3;0;
27/08/2013;06:43:45;73,7;73,9;63,0;3;0;
27/08/2013;06:44:45;73,6;73,9;63,0;3;0;
27/08/2013;06:45:46;73,5;73,9;63,0;2;0;
27/08/2013;06:46:46;73,6;73,9;63,0;2;0;
27/08/2013;06:47:45;73,7;73,9;63,0;2;0;
27/08/2013;06:48:45;73,7;73,9;63,0;2;0;
27/08/2013;06:49:45;73,7;73,9;63,0;2;0;
27/08/2013;06:50:45;73,7;73,9;63,0;2;0;
27/08/2013;06:51:46;73,7;73,9;63,0;2;0;
27/08/2013;06:52:46;73,7;73,9;63,0;2;0;
27/08/2013;06:53:46;73,7;73,9;63,0;2;0;
27/08/2013;06:54:46;73,7;73,9;63,0;2;0;
27/08/2013;06:55:45;73,7;73,9;63,0;2;0;
27/08/2013;06:56:45;73,7;73,9;63,0;2;0;
27/08/2013;06:57:46;73,7;73,9;63,0;2;0;
27/08/2013;06:58:46;73,7;73,9;63,0;2;0;
27/08/2013;06:59:46;73,7;73,9;63,0;2;0;
27/08/2013;07:00:46;73,7;73,9;63,0;2;0;
27/08/2013;07:01:46;73,7;73,9;63,0;2;0;
27/08/2013;07:02:46;73,8;73,9;63,0;2;0;
27/08/2013;07:03:46;73,8;73,9;63,0;2;0;
27/08/2013;07:04:46;73,8;73,9;63,0;2;0;
27/08/2013;07:05:46;73,8;73,9;63,0;2;0;
27/08/2013;07:06:46;73,8;73,9;63,0;2;0;
27/08/2013;07:07:46;73,8;73,9;63,0;2;0;
27/08/2013;07:08:46;73,8;73,9;63,0;2;0;
27/08/2013;07:09:46;73,8;73,9;63,0;2;0;
27/08/2013;07:10:46;73,8;73,9;63,0;2;0;
27/08/2013;20:25:12;73,8;73,9;63,0;3;0;
27/08/2013;20:25:18;73,8;73,9;63,0;3;0;
27/08/2013;20:26:15;73,6;73,9;63,0;3;0;
27/08/2013;20:27:15;73,7;73,9;63,0;3;0;
27/08/2013;20:28:15;73,5;73,9;63,0;2;0;
27/08/2013;20:29:15;73,7;73,9;63,0;2;0;
27/08/2013;20:30:15;73,8;73,9;63,0;2;0;
